Date,Description,Category,Amount
2023-08-26,Friends' night out,Social Life,-120.00
2023-08-27,Fruit purchase,Food,-20.00
2023-08-28,Subway fare,Transportation,-2.50
2023-08-29,Home decor items,Household,-80.00
2023-08-30,Online subscription,Subscription,-7.99
2023-08-31,Stock investment,Investment,-500.00
2023-09-01,Health check-up,Health,-80.00
2023-09-02,Family outing,Family,-100.00
2023-09-03,Sneakers,Apparel,-90.00
2023-09-04,Skincare products,Beauty,-35.00
2023-09-05,Textbooks,Education,-150.00
2023-09-06,Festival celebration, Festivals,-200.00
2023-09-07,Money transfer to friend, Money transfer,-50.00
2023-09-08,Art exhibition, Culture,-30.00
2023-09-09,Travel expenses, Tourism,-500.00
2023-09-10,Shaving kit, Grooming,-25.00
2023-09-11,Document certification, Documents,-15.00
2023-09-12,Social gathering, Social Life,-70.00
2023-09-13,Grocery shopping, Food,-80.00
2023-09-14,Cab fare, Transportation,-15.00
2023-09-15,Cleaning supplies, Household,-40.00
2023-09-16,Online streaming subscription, Subscription,-12.99
2023-09-17,Stock investment, Investment,-300.00
2023-09-18,Pharmacy visit, Health,-30.00
2023-09-19,Family outing, Family,-150.00
2023-09-20,Jeans, Apparel,-60.00
2023-09-21,Spa day, Beauty,-100.00
2023-09-22,Online course fee, Education,-50.00
2023-09-23,Winter festival, Festivals,-200.00
2023-09-24,International wire transfer, Money transfer,-25.00
2023-09-25,Theater visit, Culture,-40.00
2023-09-26,Weekend getaway, Tourism,-600.00
2023-09-27,Shaving kit, Grooming,-25.00
2023-09-28,Document notarization, Documents,-15.00
2023-09-29,Friends' meetup, Social Life,-70.00
2023-09-30,Grocery shopping, Food,-100.00
2023-10-01,Metro ticket, Transportation,-5.00
2023-10-02,Home repair tools, Household,-70.00
2023-10-03,Music subscription, Subscription,-9.99
2023-10-04,Bond investment, Investment,-500.00
2023-10-05,Health insurance premium, Health,-250.00
2023-10-06,Family movie night, Family,-60.00
2023-10-07,Summer dress, Apparel,-70.00
2023-10-08,Facial treatment, Beauty,-45.00
2023-10-09,Textbook purchase, Education,-100.00
2023-10-10,Valentine's Day gifts, Festivals,-200.00
2023-10-11,Money transfer to parents, Money transfer,-300.00
2023-10-12,Book fair tickets, Culture,-15.00
2023-10-13,Travel booking, Tourism,-450.00
2023-10-14,Hair gel, Grooming,-10.00
2023-10-15,Document fee, Documents,-10.00
2023-10-16,Dinner with friends, Social Life,-120.00
2023-10-17,Weekly groceries, Food,-85.00
2023-10-18,Train ticket, Transportation,-25.00
2023-10-19,Kitchen utensils, Household,-35.00
2023-10-20,Online reading subscription, Subscription,-6.99
2023-10-21,ETF purchase, Investment,-600.00
2023-10-22,Fitness check-up, Health,-90.00
2023-10-23,Family park visit, Family,-50.00
2023-10-24,Trousers, Apparel,-55.00
2023-10-25,Beauty products, Beauty,-30.00
2023-10-26,School supplies, Education,-20.00
2023-10-27,Holiday decorations, Festivals,-75.00
2023-10-28,Money transfer for utilities, Money transfer,-60.00
2023-10-29,Art gallery, Culture,-30.00
2023-10-30,City tour, Tourism,-300.00
2023-10-31,Razor blades, Grooming,-12.00
2023-11-01,Legal document preparation, Documents,-40.00
2023-11-02,Group lunch, Social Life,-100.00
2023-11-03,Fruit shopping, Food,-25.00
2023-11-04,Bus pass, Transportation,-50.00
2023-11-05,Living room carpet, Household,-120.00
2023-11-06,Monthly magazine subscription, Subscription,-5.99
2023-11-07,Real estate investment, Investment,-2000.00
2023-11-08,Pharmacy order, Health,-60.00
2023-11-09,Family dining out, Family,-70.00
2023-11-10,Shoes, Apparel,-90.00
2023-11-11,Cosmetics, Beauty,-35.00
2023-11-12,Online learning, Education,-100.00
2023-11-13,Easter gifts, Festivals,-150.00
2023-11-14,Money transfer to sibling, Money transfer,-100.00
2023-11-15,Book fair tickets, Culture,-15.00
2023-11-16,Travel booking, Tourism,-450.00
2023-11-17,Hair gel, Grooming,-10.00
2023-11-18,Document certification, Documents,-20.00
2023-11-19,Social night out, Social Life,-90.00
2023-11-20,Vegetables, Food,-25.00
2023-11-21,Car wash, Transportation,-20.00
2023-11-22,Table lamp, Household,-30.00
2023-11-23,Magazine subscription, Subscription,-7.99
2023-11-24,Bond investment, Investment,-500.00
2023-11-25,Health insurance premium, Health,-250.00
2023-11-26,Family movie night, Family,-60.00
2023-11-27,Summer dress, Apparel,-70.00
2023-11-28,Facial treatment, Beauty,-45.00
2023-11-29,Textbook purchase, Education,-100.00
2023-11-30,Valentine's Day gifts, Festivals,-200.00
2023-12-01,Money transfer to parents, Money transfer,-300.00
2023-12-02,Book fair tickets, Culture,-15.00
2023-12-03,Travel booking, Tourism,-450.00
2023-12-04,Hair gel, Grooming,-10.00
2023-12-05,Document fee, Documents,-10.00
2023-12-06,Dinner with friends, Social Life,-120.00
2023-12-07,Weekly groceries, Food,-85.00
2023-12-08,Train ticket, Transportation,-25.00
2023-12-09,Kitchen utensils, Household,-35.00
2023-12-10,Online reading subscription, Subscription,-6.99
2023-12-11,ETF purchase, Investment,-600.00
2023-12-12,Fitness check-up, Health,-90.00
2023-12-13,Family park visit, Family,-50.00
2023-12-14,Trousers, Apparel,-55.00
2023-12-15,Beauty products, Beauty,-30.00
2023-12-16,School supplies, Education,-20.00
2023-12-17,Holiday decorations, Festivals,-75.00
2023-12-18,Money transfer for utilities, Money transfer,-60.00
2023-12-19,Art gallery, Culture,-30.00
2023-12-20,City tour, Tourism,-300.00
2023-12-21,Razor blades, Grooming,-12.00
2023-12-22,Legal document preparation, Documents,-40.00
2023-12-23,Group lunch, Social Life,-100.00
2023-12-24,Fruit shopping, Food,-25.00
2023-12-25,Bus pass, Transportation,-50.00
2023-12-26,Living room carpet, Household,-120.00
2023-12-27,Monthly magazine subscription, Subscription,-5.99
2023-12-28,Real estate investment, Investment,-2000.00
2023-12-29,Pharmacy order, Health,-60.00
2023-12-30,Family dining out, Family,-70.00
2024-01-01,Cosmetics,Beauty,-35.00
2024-01-02,Online learning,Education,-100.00
2024-01-03,Easter gifts,Festivals,-150.00
2024-01-04,Money transfer to sibling,Money transfer,-100.00
2024-01-05,Book fair tickets,Culture,-15.00
2024-01-06,Travel booking,Tourism,-450.00
2024-01-07,Hair gel,Grooming,-10.00
2024-01-08,Document certification,Documents,-20.00
2024-01-09,Social night out,Social Life,-90.00
2024-01-10,Vegetables,Food,-25.00
2024-01-11,Car wash,Transportation,-20.00
2024-01-12,Table lamp,Household,-30.00
2024-01-13,Magazine subscription,Subscription,-7.99
2024-01-14,Bond investment,Investment,-500.00
2024-01-15,Health insurance premium,Health,-250.00
2024-01-16,Family movie night,Family,-60.00
2024-01-17,Summer dress,Apparel,-70.00
2024-01-18,Facial treatment,Beauty,-45.00
2024-01-19,Textbook purchase,Education,-100.00
2024-01-20,Valentine's Day gifts,Festivals,-200.00
2024-01-21,Money transfer to parents,Money transfer,-300.00
2024-01-22,Book fair tickets,Culture,-15.00
2024-01-23,Travel booking,Tourism,-450.00
2024-01-24,Hair gel,Grooming,-10.00
2024-01-25,Document fee,Documents,-10.00
2024-01-26,Dinner with friends,Social Life,-120.00
2024-01-27,Weekly groceries,Food,-85.00
2024-01-28,Train ticket,Transportation,-25.00
2024-01-29,Kitchen utensils,Household,-35.00
2024-01-30,Online reading subscription,Subscription,-6.99
2024-01-31,ETF purchase,Investment,-600.00
2024-02-01,Street food,Food,-20.00
2024-02-02,Taxi ride,Transportation,-15.00
2024-02-03,Cleaning supplies,Household,-30.00
2024-02-04,Streaming service subscription,Subscription,-9.99
2024-02-05,Stock investment,Investment,-500.00
2024-02-06,Pharmacy visit,Health,-25.00
2024-02-07,Family outing,Family,-100.00
2024-02-08,Batik shirt,Apparel,-80.00
2024-02-09,Spa treatment,Beauty,-90.00
2024-02-10,Online course fee,Education,-50.00
2024-02-11,Local cultural festival, Festivals,-150.00
2024-02-12,International money transfer,Money transfer,-30.00
2024-02-13,Theater performance, Culture,-50.00
2024-02-14,Weekend beach getaway, Tourism,-400.00
2024-02-15,Barber visit, Grooming,-15.00
2024-02-16,Document notarization,Documents,-15.00
2024-02-17,Meetup with friends, Social Life,-50.00
2024-02-18,Market groceries,Food,-30.00
2024-02-19,Public transport fare,Transportation,-10.00
2024-02-20,Home decor,Household,-50.00
2024-02-21,Music streaming subscription,Subscription,-8.99
2024-02-22,Gold investment,Investment,-700.00
2024-02-23,Dental check-up,Health,-80.00
2024-02-24,Park visit with family,Family,-60.00
2024-02-25,Traditional attire,Apparel,-120.00
2024-02-26,Face mask,Beauty,-20.00
2024-02-27,Language course fee,Education,-80.00
2024-02-28,Celebration feast, Festivals,-200.00
2024-02-29,Overseas remittance,Money transfer,-50.00
2024-03-01,Art exhibition, Culture,-30.00
2024-03-02,Island vacation, Tourism,-600.00
2024-03-03,Barbershop visit, Grooming,-18.00
2024-03-04,Document processing fee,Documents,-12.00
2024-03-05,Community event, Social Life,-40.00
2024-03-06,Street food,Food,-15.00
2024-03-07,Ride-hailing service,Transportation,-8.00
2024-03-08,Cleaning supplies,Household,-25.00
2024-03-09,Streaming service subscription,Subscription,-9.99
2024-03-10,Stock investment,Investment,-300.00
2024-03-11,Pharmacy visit,Health,-20.00
2024-03-12,Family outing,Family,-80.00
2024-03-13,Batik dress,Apparel,-150.00
2024-03-14,Spa treatment,Beauty,-100.00
2024-03-15,Online course fee,Education,-60.00
2024-03-16,Local cultural festival, Festivals,-100.00
2024-03-17,International money transfer,Money transfer,-25.00
2024-03-18,Theater performance, Culture,-40.00
2024-03-19,Weekend retreat, Tourism,-350.00
2024-03-20,Barber visit, Grooming,-12.00
2024-03-21,Document notarization,Documents,-18.00
2024-03-22,Meetup with friends, Social Life,-30.00
2024-03-23,Market groceries,Food,-35.00
2024-03-24,Public transport fare,Transportation,-7.00
2024-03-25,Home decor,Household,-40.00
2024-03-26,Music streaming subscription,Subscription,-7.99
2024-03-27,Gold investment,Investment,-600.00
2024-03-28,Dental check-up,Health,-70.00
2024-03-29,Park visit with family,Family,-50.00
2024-03-30,Traditional attire,Apparel,-100.00
2024-03-31,Face mask,Beauty,-15.00
2024-04-01,Nasi lemak breakfast,Food,-8.00
2024-04-02,LRT ticket,Transportation,-5.00
2024-04-03,Household cleaning products,Household,-20.00
2024-04-04,Streaming service subscription,Subscription,-9.99
2024-04-05,Stock investment,Investment,-400.00
2024-04-06,Pharmacy visit,Health,-15.00
2024-04-07,Family outing to the zoo,Family,-120.00
2024-04-08,Baju kurung,Apparel,-200.00
2024-04-09,Grab ride,Transportation,-12.00
2024-04-10,Spa and massage,Beauty,-120.00
2024-04-11,Online course fee,Education,-70.00
2024-04-12,Local food festival, Festivals,-80.00
2024-04-13,International money transfer,Money transfer,-35.00
2024-04-14,Movie tickets, Culture,-25.00
2024-04-15,Weekend getaway to Cameron Highlands, Tourism,-500.00
2024-04-16,Barber visit, Grooming,-10.00
2024-04-17,Document notarization,Documents,-20.00
2024-04-18,Hangout at mamak stall, Social Life,-30.00
2024-04-19,Nasi ayam lunch,Food,-12.00
2024-04-20,LRT fare,Transportation,-3.50
2024-04-21,Home essentials,Household,-30.00
2024-04-22,Music streaming subscription,Subscription,-7.99
2024-04-23,Gold investment,Investment,-800.00
2024-04-24,Dental check-up,Health,-60.00
2024-04-25,Picnic in the park,Family,-70.00
2024-04-26,Baju Melayu,Apparel,-150.00
2024-04-27,GrabCar ride,Transportation,-20.00
2024-04-28,Facial treatment,Beauty,-80.00
2024-04-29,Language course fee,Education,-90.00
2024-04-30,Night market shopping, Festivals,-50.00
2024-05-01,Overseas remittance,Money transfer,-40.00
2024-05-02,Art exhibition, Culture,-30.00
2024-05-03,Beach vacation, Tourism,-700.00
2024-05-04,Barber visit, Grooming,-15.00
2024-05-05,Document processing fee,Documents,-15.00
2024-05-06,Coffee with friends, Social Life,-25.00
2024-05-07,Nasi kerabu lunch,Food,-15.00
2024-05-08,GrabFood delivery,Transportation,-8.00
2024-05-09,Cleaning supplies,Household,-25.00
2024-05-10,Streaming service subscription,Subscription,-8.99
2024-05-11,Investment in unit trust,Investment,-600.00
2024-05-12,Health supplements,Health,-40.00
2024-05-13,Family karaoke night,Family,-90.00
2024-05-14,Songkok,Apparel,-50.00
2024-05-15,Grab ride to airport,Transportation,-30.00
2024-05-16,Manicure and pedicure,Beauty,-60.00
2024-05-17,Online course fee,Education,-80.00
2024-05-18,Local arts and crafts festival, Festivals,-120.00
2024-05-19,Money transfer to family,Money transfer,-50.00
2024-05-20,Theater tickets, Culture,-40.00
2024-05-21,Weekend trip to Penang, Tourism,-800.00
2024-05-22,Shaving kit, Grooming,-20.00
2024-05-23,Document notarization,Documents,-25.00
2024-05-24,Dinner with colleagues, Social Life,-60.00
2024-05-25,Roti canai breakfast,Food,-10.00
2024-05-26,LRT token,Transportation,-2.00
2024-05-27,Household groceries,Household,-40.00
2024-05-28,Music streaming subscription,Subscription,-6.99
2024-05-29,Gold investment,Investment,-500.00
2024-05-30,General health check-up,Health,-50.00
2024-05-31,Family bowling session,Family,-80.00
2024-06-01,Sarong,Apparel,-80.00
2024-06-02,Grab ride home,Transportation,-15.00
2024-06-03,Beauty salon visit,Beauty,-100.00
2024-06-04,Online course fee,Education,-60.00
2024-06-05,Hari Raya open house, Festivals,-200.00
2024-06-06,International money transfer,Money transfer,-30.00
2024-06-07,Movie night, Culture,-20.00
2024-06-08,Beach resort stay, Tourism,-1000.00
2024-06-09,Haircut, Grooming,-12.00
2024-06-10,Document certification,Documents,-18.00
2024-06-11,Family gathering, Social Life,-50.00
2024-06-12,Nasi dagang breakfast,Food,-8.00
2024-06-13,LRT fare,Transportation,-3.00
2024-06-14,Home cleaning supplies,Household,-35.00
2024-06-15,Streaming service subscription,Subscription,-9.99
2024-06-16,Investment in property,Investment,-10000.00
2024-06-17,Dental check-up,Health,-70.00
2024-06-18,Family picnic,Family,-60.00
2024-06-19,Baju kebaya,Apparel,-180.00
2024-06-20,Grab ride to mall,Transportation,-10.00
2024-06-21,Facial and massage,Beauty,-150.00
2024-06-22,Language course fee,Education,-100.00
2024-06-23,Local food fair, Festivals,-150.00
2024-06-24,Money transfer to friend,Money transfer,-20.00
2024-06-25,Art gallery visit, Culture,-35.00
2024-06-26,Island hopping tour, Tourism,-600.00
2024-06-27,Barber visit, Grooming,-15.00
2024-06-28,Document notarization,Documents,-20.00
2024-06-29,Networking event, Social Life,-40.00
2024-06-30,Banana leaf rice lunch,Food,-20.00
2024-07-01,LRT token,Transportation,-2.00
2024-07-02,Household essentials,Household,-30.00
2024-07-03,Music streaming subscription,Subscription,-6.99
2024-07-04,Investment in stocks,Investment,-800.00
2024-07-05,Health check-up,Health,-50.00
2024-07-06,Family movie night,Family,-70.00
2024-07-07,Sampin,Apparel,-60.00
2024-07-08,GrabFood delivery,Transportation,-8.00
2024-07-09,Manicure and pedicure,Beauty,-70.00
2024-07-10,Online course fee,Education,-80.00
2024-07-11,Local cultural festival, Festivals,-100.00
2024-07-12,International money transfer,Money transfer,-25.00
2024-07-13,Theater tickets, Culture,-40.00
2024-07-14,Weekend trip to Langkawi, Tourism,-1000.00
2024-07-15,Shaving kit, Grooming,-20.00
2024-07-16,Document notarization,Documents,-25.00
2024-07-17,Meetup with friends, Social Life,-30.00
2024-07-18,Street food dinner,Food,-15.00
2024-07-19,LRT fare,Transportation,-3.00
2024-07-20,Home cleaning supplies,Household,-35.00
2024-07-21,Streaming service subscription,Subscription,-9.99
2024-07-22,Gold investment,Investment,-600.00
07-22,Traditional Malay attire,Apparel,-250.00
07-23,Grab ride to friend's house,Transportation,-12.00
07-24,Spa treatment,Beauty,-120.00
07-25,Tuition fee,Education,-150.00
07-26,Bazaar Ramadan shopping, Festivals,-80.00
07-27,Money transfer to family,Money transfer,-50.00
07-28,Concert tickets, Culture,-60.00
07-29,Weekend trip to Melaka, Tourism,-400.00
07-30,Barber visit, Grooming,-15.00
07-31,Home decor purchase,Household,-50.00
08-01,Nasi kandar lunch,Food,-12.00
08-02,LRT fare,Transportation,-3.00
08-03,Utility bill payment,Household,-100.00
08-04,Subscription renewal,Subscription,-7.99
08-05,Investment in gold,Investment,-500.00
08-06,Dental check-up,Health,-80.00
08-07,Family outing to theme park,Family,-200.00
08-08,Baju raya shopping,Apparel,-300.00
08-09,Grab ride to work,Transportation,-10.00
08-10,Facial treatment,Beauty,-80.00
08-11,Language course fee,Education,-90.00
08-12,Hari Raya Aidiladha preparations, Festivals,-150.00
08-13,Money transfer to friend,Money transfer,-30.00
08-14,Art exhibition visit, Culture,-25.00
08-15,Short getaway to Pulau Redang, Tourism,-600.00
08-16,Haircut, Grooming,-18.00
08-17,Document notarization,Documents,-20.00
08-18,Coffee with friends, Social Life,-20.00
08-19,Roti bakar breakfast,Food,-8.00
08-20,LRT token,Transportation,-2.00
08-21,Household groceries,Household,-40.00
08-22,Streaming service subscription,Subscription,-8.99
08-23,Investment in property,Investment,-12000.00
08-24,Health supplements,Health,-50.00
08-25,Family karaoke night,Family,-90.00
08-26,Traditional Malay attire,Apparel,-180.00
08-27,Grab ride to shopping mall,Transportation,-15.00
08-28,Spa and massage session,Beauty,-150.00
08-29,Online course fee,Education,-70.00
08-30,Local food festival, Festivals,-120.00
08-31,Money transfer to family,Money transfer,-50.00
09-01,International money transfer,Money transfer,-40.00
09-02,Movie night, Culture,-30.00
09-03,Weekend trip to Penang, Tourism,-800.00
09-04,Haircut, Grooming,-15.00
09-05,Document processing fee,Documents,-15.00
09-06,Gathering with relatives, Social Life,-50.00
09-07,Nasi lemak breakfast,Food,-10.00
09-08,LRT fare,Transportation,-3.50
09-09,Home cleaning supplies,Household,-35.00
09-10,Subscription renewal,Subscription,-6.99
09-11,Investment in stocks,Investment,-1000.00
09-12,Health check-up,Health,-60.00
09-13,Family picnic,Family,-70.00
09-14,Baju kurung shopping,Apparel,-200.00
09-15,GrabFood delivery,Transportation,-8.00
09-16,Manicure and pedicure,Beauty,-60.00
09-17,Language course fee,Education,-80.00
09-18,Local arts and crafts festival, Festivals,-100.00
09-19,Money transfer to friend,Money transfer,-30.00
09-20,Theater tickets, Culture,-40.00
09-21,Weekend trip to Langkawi, Tourism,-1000.00
09-22,Shaving kit, Grooming,-20.00
09-23,Document notarization,Documents,-25.00
09-24,Dinner with colleagues, Social Life,-60.00
09-25,Roti canai breakfast,Food,-10.00
09-26,LRT token,Transportation,-2.00
09-27,Household groceries,Household,-40.00
09-28,Music streaming subscription,Subscription,-6.99
09-29,Investment in gold,Investment,-600.00
09-30,General health check-up,Health,-50.00
10-01,Family bowling session,Family,-80.00
10-02,Sarong,Apparel,-80.00
10-03,Grab ride home,Transportation,-15.00
10-04,Spa treatment,Beauty,-100.00
10-05,Tuition fee,Education,-150.00
10-06,Bazaar shopping, Festivals,-80.00
10-07,Money transfer to family,Money transfer,-50.00
10-08,Concert tickets, Culture,-60.00
10-09,Weekend trip to Melaka, Tourism,-400.00
10-10,Barber visit, Grooming,-15.00
10-11,Home decor purchase,Household,-50.00
10-12,Nasi kandar lunch,Food,-12.00
10-13,LRT fare,Transportation,-3.00
10-14,Utility bill payment,Household,-100.00
10-15,Subscription renewal,Subscription,-7.99
10-16,Investment in gold,Investment,-500.00
10-17,Dental check-up,Health,-80.00
10-18,Family outing to theme park,Family,-200.00
10-19,Baju raya shopping,Apparel,-300.00
10-20,Grab ride to work,Transportation,-10.00
10-21,Facial treatment,Beauty,-80.00
10-22,Language course fee,Education,-90.00
10-23,Hari Raya Aidiladha preparations, Festivals,-150.00
10-24,Money transfer to friend,Money transfer,-30.00
10-25,Art exhibition visit, Culture,-25.00
10-26,Short getaway to Pulau Redang, Tourism,-600.00
10-27,Haircut, Grooming,-18.00
10-28,Document notarization,Documents,-20.00
10-29,Coffee with friends, Social Life,-20.00
10-30,Roti bakar breakfast,Food,-8.00
10-31,LRT token,Transportation,-2.00
11-01,Household groceries,Household,-40.00
11-02,Streaming service subscription,Subscription,-8.99
11-03,Investment in property,Investment,-12000.00
11-04,Health supplements,Health,-50.00
11-05,Family karaoke night,Family,-90.00
11-06,Traditional Malay attire,Apparel,-180.00
11-07,Grab ride to shopping mall,Transportation,-15.00
11-08,Spa and massage session,Beauty,-150.00
11-09,Online course fee,Education,-70.00
11-10,Local food festival, Festivals,-120.00
11-11,Money transfer to family,Money transfer,-50.00
11-12,International money transfer,Money transfer,-40.00
11-13,Movie night, Culture,-30.00
11-14,Weekend trip to Penang, Tourism,-800.00
11-15,Haircut, Grooming,-15.00
11-16,Document processing fee,Documents,-15.00
11-17,Gathering with relatives, Social Life,-50.00
11-18,Nasi lemak breakfast,Food,-10.00
11-19,LRT fare,Transportation,-3.50
11-20,Home cleaning supplies,Household,-35.00
11-21,Streaming service subscription,Subscription,-9.99
11-22,Investment in stocks,Investment,-1000.00
11-23,Health check-up,Health,-60.00
11-24,Family picnic,Family,-70.00
11-25,Baju kurung shopping,Apparel,-200.00
11-26,GrabFood delivery,Transportation,-8.00
11-27,Manicure and pedicure,Beauty,-60.00
11-28,Language course fee,Education,-80.00
11-29,Local arts and crafts festival, Festivals,-100.00
11-30,Money transfer to friend,Money transfer,-30.00
12-01,Theater tickets, Culture,-40.00
12-02,Weekend trip to Langkawi, Tourism,-1000.00
2024-07-14,Physiotherapy session,Health,-150.00
2024-07-15,Vitamins purchase,Health,-30.00
2024-07-16,Gym membership renewal,Health,-200.00
2024-07-17,Doctor's consultation,Health,-80.00
2024-07-18,Medical test,Health,-120.00
2024-07-14,Family picnic,Family,-50.00
2024-07-15,Family board game night,Family,-30.00
2024-07-16,Family visit to amusement park,Family,-150.00
2024-07-17,Family lunch outing,Family,-60.00
2024-07-18,Family camping trip,Family,-200.00
2024-07-19,Shoes purchase,Apparel,-80.00
2024-07-20,Summer dress,Apparel,-50.00
2024-07-21,Formal attire purchase,Apparel,-150.00
2024-07-22,Sportswear purchase,Apparel,-100.00
2024-07-23,Sunglasses purchase,Apparel,-70.00
2024-07-19,Skincare products,Beauty,-35.00
2024-07-20,Haircut and styling,Beauty,-45.00
2024-07-21,Makeup purchase,Beauty,-25.00
2024-07-22,Spa treatment,Beauty,-120.00
2024-07-23,Facial mask purchase,Beauty,-15.00
2024-07-24,Books purchase,Education,-70.00
2024-07-25,Online course fee,Education,-90.00
2024-07-26,Workshop registration,Education,-50.00
2024-07-27,Language class fee,Education,-100.00
2024-07-28,Exam registration,Education,-120.00
2024-07-24,Music festival tickets,Festivals,-200.00
2024-07-25,Traditional event celebration,Festivals,-100.00
2024-07-26,Holiday decorations,Festivals,-80.00
2024-07-27,Food festival entry,Festivals,-50.00
2024-07-28,Cultural performance tickets,Festivals,-70.00
2024-07-29,Stationery purchase,Education,-40.00
2024-07-30,Online course subscription,Education,-60.00
2024-07-31,Student association fee,Education,-20.00
2024-08-01,Workshop materials,Education,-35.00
2024-08-02,Textbook purchase,Education,-80.00
2024-07-29,Annual festival tickets,Festivals,-150.00
2024-07-30,Street food fair, Festivals,-50.00
2024-07-31,Cultural parade, Festivals,-100.00
2024-08-01,Fireworks display, Festivals,-80.00
2024-08-02,Local music concert, Festivals,-120.00
2024-07-29,Money transfer to relative,Money transfer,-30.00
2024-07-30,Charity donation,Money transfer,-20.00
2024-07-31,Loan repayment,Money transfer,-100.00
2024-08-01,Gift for friend,Money transfer,-10.00
2024-08-02,Family support,Money transfer,-50.00
2024-07-29,Art exhibition visit,Culture,-25.00
2024-07-30,Traditional dance show,Culture,-40.00
2024-07-31,Museum entry,Culture,-15.00
2024-08-01,Historical site visit,Culture,-30.00
2024-08-02,Theatre performance,Culture,-50.00
2024-07-29,Local tour guide, Tourism,-80.00
2024-07-30,Theme park tickets, Tourism,-200.00
2024-07-31,Beach excursion, Tourism,-150.00
2024-08-01,Hiking trip, Tourism,-100.00
2024-08-02,Boat ride, Tourism,-70.00
2024-07-29,Barbershop visit, Grooming,-15.00
2024-07-30,Manicure session, Grooming,-25.00
2024-07-31,Beard trimming, Grooming,-10.00
2024-08-01,Hair styling, Grooming,-30.00
2024-08-02,Shaving kit purchase, Grooming,-20.00
2024-07-29,Document notarization fee, Documents,-20.00
2024-07-30,Legal document review, Documents,-30.00
2024-07-29,Coffee with friends, Social Life,-15.00
2024-08-03,Online course fee,Education,-100.00
2024-08-04,Study materials,Education,-50.00
2024-08-05,Student association dues,Education,-30.00
2024-08-06,Workshop registration,Education,-60.00
2024-08-07,Textbook purchase,Education,-80.00
2024-08-03,Annual cultural festival, Festivals,-200.00
2024-08-04,Traditional dance performance, Festivals,-50.00
2024-08-05,Street food fair entry, Festivals,-30.00
2024-08-06,Fireworks display tickets, Festivals,-80.00
2024-08-07,Local music concert, Festivals,-100.00
2024-08-03,Family remittance,Money transfer,-50.00
2024-08-04,Charity donation,Money transfer,-20.00
2024-08-05,Loan repayment,Money transfer,-80.00
2024-08-06,Gift for relative,Money transfer,-20.00
2024-08-07,Personal transfer,Money transfer,-30.00
2024-08-03,Art gallery visit, Culture,-20.00
2024-08-04,Theater play, Culture,-40.00
2024-08-05,Museum entry, Culture,-15.00
2024-08-06,Cultural exhibition, Culture,-25.00
2024-08-07,Historical site visit, Culture,-20.00
2024-08-03,Local sightseeing tour, Tourism,-50.00
2024-08-04,Theme park visit, Tourism,-100.00
2024-08-05,Beach outing, Tourism,-30.00
2024-08-06,Hiking expedition, Tourism,-70.00
2024-08-07,Boat cruise, Tourism,-50.00
2024-08-03,Barbershop haircut, Grooming,-20.00
2024-08-04,Manicure session, Grooming,-30.00
2024-08-05,Beard grooming, Grooming,-10.00
2024-08-06,Haircut and styling, Grooming,-40.00
2024-08-07,Shaving supplies, Grooming,-10.00
2024-08-03,Document certification, Documents,-30.00
2024-08-04,Legal paperwork processing, Documents,-50.00
2024-08-05,Notary services, Documents,-40.00
2024-08-06,Document translation, Documents,-80.00
2024-08-07,Document review, Documents,-50.00
2024-08-03,Dinner with friends, Social Life,-80.00
2024-08-04,Coffee meetup, Social Life,-20.00
2024-08-05,Movie night, Social Life,-30.00
2024-08-06,Birthday celebration, Social Life,-100.00
2024-08-07,Networking event, Social Life,-70.00
2024-08-08,Exam registration fee,Education,-120.00
2024-08-09,Online course subscription,Education,-70.00
2024-08-10,Workshop on advanced skills,Education,-150.00
2024-08-11,Study abroad application fee,Education,-200.00
2024-08-12,Library membership renewal,Education,-50.00
2024-08-08,Annual cultural parade, Festivals,-180.00
2024-08-09,Local music festival tickets, Festivals,-60.00
2024-08-10,Food stalls at cultural fair, Festivals,-40.00
2024-08-11,Traditional costume rental, Festivals,-70.00
2024-08-12,Street art workshop, Festivals,-90.00
2024-08-08,Overseas remittance,Money transfer,-100.00
2024-08-09,Charitable contribution,Money transfer,-25.00
2024-08-10,Loan repayment to friend,Money transfer,-50.00
2024-08-11,Personal gift transfer,Money transfer,-15.00
2024-08-12,Family support transfer,Money transfer,-40.00
2024-08-08,Theater performance, Culture,-60.00
2024-08-09,Art exhibition entry, Culture,-30.00
2024-08-10,Historical site tour, Culture,-45.00
2024-08-11,Traditional dance show, Culture,-50.00
2024-08-12,Movie screening, Culture,-25.00
2024-08-08,Guided city tour, Tourism,-80.00
2024-08-09,Zoo visit, Tourism,-35.00
2024-08-10,Adventure park activities, Tourism,-120.00
2024-08-11,Local market exploration, Tourism,-25.00
2024-08-12,Beach picnic, Tourism,-60.00
2024-08-08,Spa session, Grooming,-50.00
2024-08-09,Salon hair treatment, Grooming,-70.00
2024-08-10,Beard trimming, Grooming,-15.00
2024-08-11,Manicure and pedicure, Grooming,-40.00
2024-08-12,Skincare products, Grooming,-20.00
2024-08-08,Legal document filing, Documents,-60.00
2024-08-09,Contract drafting services, Documents,-90.00
2024-08-10,Notary public fees, Documents,-40.00
2024-08-11,Document scanning services, Documents,-30.00
2024-08-12,Certified copy issuance, Documents,-20.00
2024-08-08,Restaurant dinner with friends, Social Life,-90.00
